,round,race_date,team_name,points,season,cumulative_points
0,1,2024-02-29,Kick Sauber,0,2024,0
1,1,2024-02-29,Haas F1 Team,0,2024,0
2,1,2024-02-29,Williams,0,2024,0
3,1,2024-02-29,Red Bull Racing,43,2024,43
4,1,2024-02-29,Aston Martin,3,2024,3
5,1,2024-02-29,Alpine,0,2024,0
6,1,2024-02-29,RB,0,2024,0
7,1,2024-02-29,Mercedes,16,2024,16
8,1,2024-02-29,McLaren,12,2024,12
9,1,2024-02-29,Ferrari,27,2024,27
10,2,2024-03-07,Alpine,0,2024,0
11,2,2024-03-07,Haas F1 Team,1,2024,1
12,2,2024-03-07,Kick Sauber,0,2024,0
13,2,2024-03-07,Williams,0,2024,0
14,2,2024-03-07,Mercedes,10,2024,26
15,2,2024-03-07,Red Bull Racing,43,2024,86
16,2,2024-03-07,Ferrari,21,2024,48
17,2,2024-03-07,RB,0,2024,0
18,2,2024-03-07,McLaren,16,2024,28
19,2,2024-03-07,Aston Martin,10,2024,13
20,3,2024-03-22,Aston Martin,14,2024,27
21,3,2024-03-22,Alpine,0,2024,0
22,3,2024-03-22,Ferrari,43,2024,91
23,3,2024-03-22,Haas F1 Team,3,2024,4
24,3,2024-03-22,Kick Sauber,0,2024,0
25,3,2024-03-22,McLaren,27,2024,55
26,3,2024-03-22,Mercedes,0,2024,26
27,3,2024-03-22,RB,4,2024,4
28,3,2024-03-22,Red Bull Racing,10,2024,96
29,3,2024-03-22,Williams,0,2024,0
30,4,2024-04-05,Kick Sauber,0,2024,0
31,4,2024-04-05,Red Bull Racing,43,2024,139
32,4,2024-04-05,Williams,0,2024,0
33,4,2024-04-05,McLaren,14,2024,69
34,4,2024-04-05,Mercedes,8,2024,34
35,4,2024-04-05,Haas F1 Team,0,2024,4
36,4,2024-04-05,Alpine,0,2024,0
37,4,2024-04-05,RB,1,2024,5
38,4,2024-04-05,Ferrari,27,2024,118
39,4,2024-04-05,Aston Martin,8,2024,35
40,5,2024-04-19,Aston Martin,6,2024,41
41,5,2024-04-19,Mercedes,10,2024,44
42,5,2024-04-19,Kick Sauber,0,2024,0
43,5,2024-04-19,Haas F1 Team,1,2024,5
44,5,2024-04-19,Alpine,0,2024,0
45,5,2024-04-19,Red Bull Racing,40,2024,179
46,5,2024-04-19,McLaren,22,2024,91
47,5,2024-04-19,Ferrari,22,2024,140
48,5,2024-04-19,RB,0,2024,5
49,5,2024-04-19,Williams,0,2024,0
50,6,2024-05-03,Haas F1 Team,0,2024,5
51,6,2024-05-03,Kick Sauber,0,2024,0
52,6,2024-05-03,McLaren,25,2024,116
53,6,2024-05-03,Aston Martin,2,2024,43
54,6,2024-05-03,Mercedes,12,2024,56
55,6,2024-05-03,Williams,0,2024,0
56,6,2024-05-03,RB,6,2024,11
57,6,2024-05-03,Alpine,1,2024,1
58,6,2024-05-03,Red Bull Racing,28,2024,207
59,6,2024-05-03,Ferrari,27,2024,167
60,7,2024-05-17,McLaren,30,2024,146
61,7,2024-05-17,Kick Sauber,0,2024,0
62,7,2024-05-17,RB,1,2024,12
63,7,2024-05-17,Alpine,0,2024,1
64,7,2024-05-17,Williams,0,2024,0
65,7,2024-05-17,Aston Martin,2,2024,45
66,7,2024-05-17,Red Bull Racing,29,2024,236
67,7,2024-05-17,Ferrari,25,2024,192
68,7,2024-05-17,Mercedes,14,2024,70
69,7,2024-05-17,Haas F1 Team,0,2024,5
70,8,2024-05-24,McLaren,30,2024,176
71,8,2024-05-24,Red Bull Racing,8,2024,244
72,8,2024-05-24,Kick Sauber,0,2024,0
73,8,2024-05-24,RB,4,2024,16
74,8,2024-05-24,Ferrari,40,2024,232
75,8,2024-05-24,Williams,2,2024,2
76,8,2024-05-24,Alpine,1,2024,2
77,8,2024-05-24,Mercedes,16,2024,86
78,8,2024-05-24,Aston Martin,0,2024,45
79,8,2024-05-24,Haas F1 Team,0,2024,5
